"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","431456.596","4590743.929","431364.657","4590542.916","2.178117","41.463544","BUS -62-76-104-83--","08","55","Nou Barris","Ciutat Meridiana","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","429804.493","4584792.9","429712.568","4584591.942","2.159029","41.409803","NITBUS -N6--","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428498.623","4584315.374","428406.71","4584114.421","2.143462","41.405387","BUS -H6--","05","27","Sarrià-Sant Gervasi","el Putxet i el Farró","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431015.376","4584875.347","430923.44","4584674.388","2.173505","41.410651","NITBUS -N1-N4--","07","33","Horta-Guinardó","el Baix Guinardó","",""
"K014","Transports i serveis relacionats","Autobusos diürns","426746.002","4581029.404","426654.104","4580828.482","2.122895","41.375634","BUS -D20-52--","03","17","Sants-Montjuïc","Sants - Badal","",""
"K014","Transports i serveis relacionats","Autobusos diürns","426263.089","4585769.913","426171.197","4585568.947","2.116542","41.418285","BUS -111--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","425114.261","4584975.407","425022.379","4584774.449","2.102895","41.411023","BUS -111--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","426275.196","4585711.387","426183.304","4585510.422","2.116694","41.417759","BUS -111--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427603.204","4586873.344","427511.3","4586672.368","2.132444","41.428345","BUS -112--","07","39","Horta-Guinardó","Sant Genís dels Agudells","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428653.786","4581111.719","428561.87","4580910.796","2.145696","41.376547","BUS -115--","03","15","Sants-Montjuïc","Hostafrancs","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429117.72","4586624.939","429025.802","4586423.964","2.150597","41.426243","BUS -112-185--","07","42","Horta-Guinardó","la Clota","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428884.357","4586433.816","428792.441","4586232.843","2.147827","41.424501","BUS -112-185--","07","38","Horta-Guinardó","la Teixonera","",""
"K014","Transports i serveis relacionats","Autobusos diürns","425757.156","4582802.991","425665.268","4582602.053","2.110853","41.391517","BUS -113--","04","21","Les Corts","Pedralbes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430108.909","4585613.676","430016.981","4585412.71","2.162575","41.417222","BUS -114--","07","34","Horta-Guinardó","Can Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432492.117","4584142.752","432400.167","4583941.799","2.191254","41.404178","BUS -7-V25--","10","66","Sant Martí","el Parc i la Llacuna del Poblenou","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432492.117","4584142.752","432400.167","4583941.799","2.191254","41.404178","NITBUS -N7--","10","66","Sant Martí","el Parc i la Llacuna del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431657.341","4581514.752","431565.398","4581313.824","2.181565","41.380438","BUS -59-120-D20-H14-V13--","01","02","Ciutat Vella","el Barri Gòtic","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431651.998","4581520.132","431560.055","4581319.204","2.181501","41.380486","NITBUS -N0-N6--","01","02","Ciutat Vella","el Barri Gòtic","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431558.266","4581369.146","431466.324","4581168.219","2.180397","41.379118","BUS -59-D20-H14-V13--","01","02","Ciutat Vella","el Barri Gòtic","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428807.488","4580968.997","428715.571","4580768.075","2.147551","41.375275","BUS -D20-52--","03","15","Sants-Montjuïc","Hostafrancs","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428556.973","4580970.889","428465.058","4580769.967","2.144555","41.37527","BUS -D20-52--","03","15","Sants-Montjuïc","Hostafrancs","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427142.803","4582090.741","427050.902","4581889.809","2.127511","41.385229","BUS -59-70-75-V3-V5--","04","19","Les Corts","les Corts","",""
"K014","Transports i serveis relacionats","Autobusos diürns","425583.201","4582164.903","425491.314","4581963.971","2.108851","41.385754","BUS -75-113-EP1-JM-H4-V1-E44--","04","21","Les Corts","Pedralbes","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431151.865","4584804.138","431059.927","4584603.18","2.175146","41.410021","NITBUS -N1-N4--","02","06","Eixample","la Sagrada Família","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431096.039","4583182.189","431004.102","4582981.246","2.174663","41.395408","NITBUS -N1-N4--","02","07","Eixample","la Dreta de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431141.119","4589147.753","431049.183","4588946.754","2.174522","41.449141","BUS -127--","08","50","Nou Barris","les Roquetes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428583.51","4586087.59","428491.597","4585886.621","2.144268","41.421356","BUS -119--","07","38","Horta-Guinardó","la Teixonera","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431186.932","4589642.181","431094.996","4589441.178","2.175014","41.453598","BUS -83-199--","08","54","Nou Barris","Torre Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430955.873","4588951.11","430863.939","4588750.113","2.172327","41.447354","BUS -81--","08","50","Nou Barris","les Roquetes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430094.927","4588512.827","430003","4588311.835","2.162072","41.443332","BUS -82--","08","49","Nou Barris","Canyelles","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","429214.43","4581312.549","429122.509","4581111.624","2.152377","41.378406","NITBUS -N0--","02","09","Eixample","la Nova Esquerra de l'Eixample","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","429394.005","4582851.41","429302.083","4582650.47","2.154344","41.392281","NITBUS -N8--","02","08","Eixample","l'Antiga Esquerra de l'Eixample","",""
